,Player,Draft_Yr,College,Career_PER,Position
352,Matt Barnes,2002,"University of California, Los Angeles",12.7,Perimeter
353,Julius Randle,2014,University of Kentucky,17.6,Interior
354,Tyler Hansbrough,2009,University of North Carolina,14.8,Interior
355,Brian Scalabrine,2001,University of Southern California,7.7,Interior
356,Russell Westbrook,2008,"University of California, Los Angeles",23.7,Perimeter
357,Kevin Love,2008,"University of California, Los Angeles",21.9,Interior
358,Speedy Claxton,2000,Hofstra University,14.5,Perimeter
359,Ed Davis,2010,University of North Carolina,16.7,Interior
360,Shareef Abdur-Rahim,1996,University of California,19,Perimeter
361,Jeff Teague,2009,Wake Forest University,17.1,Perimeter
362,Cedric Henderson,1997,University of Memphis,9.2,Perimeter
363,Brandon Rush,2008,University of Kansas,9.9,Perimeter
364,Jeff Green,2007,Georgetown University,13.2,Perimeter
365,Kawhi Leonard,2011,San Diego State University,22.6,Perimeter
366,Roy Hibbert,2008,Georgetown University,15.5,Interior
367,Eric Gordon,2008,Indiana University,14.5,Perimeter
368,Marreese Speights,2008,University of Florida,16.7,Interior
369,Gary Harris,2014,Michigan State University,14,Perimeter
370,Quincy Lewis,1999,University of Minnesota,6.7,Perimeter
371,John Jenkins,2012,Vanderbilt University,11.7,Perimeter
372,Robert Traylor,1998,University of Michigan,14.5,Interior
373,Jason Terry,1999,University of Arizona,16.2,Perimeter
374,Jake Voskuhl,2000,University of Connecticut,10.8,Interior
375,Thomas Robinson,2012,University of Kansas,14,Interior
376,Jacque Vaughn,1997,University of Kansas,10.1,Perimeter
377,Richard Jefferson,2001,University of Arizona,14.4,Perimeter
378,Ray McCallum,2013,University of Detroit Mercy,11,Perimeter
379,Anthony Randolph,2008,Louisiana State University,16.5,Interior
380,Anthony Bennett,2013,"University of Nevada, Las Vegas",10.2,Interior
381,Stephen Curry,2009,Davidson College,23.8,Perimeter
382,Jarron Collins,2001,Stanford University,9.4,Interior
383,Ben McLemore,2013,University of Kansas,9.3,Perimeter
384,Daniel Gibson,2006,University of Texas at Austin,10.8,Perimeter
385,Joel Przybilla,2000,University of Minnesota,12,Interior
386,Troy Murphy,2001,University of Notre Dame,15.4,Interior
387,Mike Sweetney,2003,Georgetown University,15.1,Interior
388,Luke Ridnour,2003,University of Oregon,13.9,Perimeter
389,Vitaly Potapenko,1996,Wright State University,11.8,Interior
390,Alec Burks,2011,University of Colorado,13.6,Perimeter
391,Samaki Walker,1996,University of Louisville,12.7,Interior
392,Shane Battier,2001,Duke University,12.6,Perimeter
393,Derrick Brown,2009,Xavier University,13.8,Perimeter
394,Lee Nailon,1999,Texas Christian University,14,Perimeter
395,Cory Joseph,2011,University of Texas at Austin,12.6,Perimeter
396,Tony Wroten,2012,University of Washington,12.6,Perimeter
397,Nick Young,2007,University of Southern California,12.9,Perimeter
398,Keith Van Horn,1997,University of Utah,16.8,Perimeter
399,DeMar DeRozan,2009,University of Southern California,17.9,Perimeter
400,Leon Powe,2006,University of California,16.8,Perimeter
401,Rafer Alston,1998,"California State University, Fresno",13.2,Perimeter
402,Chauncey Billups,1997,University of Colorado,18.8,Perimeter
403,Solomon Hill,2013,University of Arizona,9.1,Perimeter
404,Andre Iguodala,2004,University of Arizona,15.7,Perimeter
405,Marcus Fizer,2000,Iowa State University,13.4,Perimeter
406,Tyler Ennis,2014,Syracuse University,10.3,Perimeter
407,Renaldo Balkman,2006,University of South Carolina,14.3,Perimeter
408,Baron Davis,1999,"University of California, Los Angeles",17.8,Perimeter
409,Andrew Wiggins,2014,University of Kansas,14.5,Perimeter
410,Bonzi Wells,1998,Ball State University,16.1,Perimeter
411,John Thomas,1997,University of Minnesota,9.4,Interior
412,JaVale McGee,2008,"University of Nevada, Reno",19.3,Interior
413,Kyle Korver,2003,Creighton University,12.8,Perimeter
414,Nik Stauskas,2014,University of Michigan,9,Perimeter
415,Juan Dixon,2002,University of Maryland,12.8,Perimeter
416,Alvin Williams,1997,Villanova University,13.7,Perimeter
417,Jahidi White,1998,Georgetown University,14.2,Interior
418,DeMarre Carroll,2009,University of Missouri,13.5,Perimeter
419,Austin Daye,2009,Gonzaga University,11.6,Perimeter
420,Jeff Withey,2013,University of Kansas,16.9,Interior
421,J.J. Hickson,2008,North Carolina State University,16.1,Interior
422,Rodney White,2001,University of North Carolina at Charlotte,12.3,Perimeter
423,Al Thornton,2007,Florida State University,12.3,Perimeter
424,Nerlens Noel,2013,University of Kentucky,16.9,Interior
425,Corey Brewer,2007,University of Florida,11.8,Perimeter
426,Nick Collison,2003,University of Kansas,13.2,Interior
427,Jelani McCoy,1998,"University of California, Los Angeles",12.6,Interior
428,Wayne Ellington,2009,University of North Carolina,11.1,Perimeter
429,Othella Harrington,1996,Georgetown University,12.5,Interior
430,Todd Fuller,1996,North Carolina State University,10.3,Interior
431,Charles Smith,1997,University of New Mexico,11.5,Perimeter
432,Ty Lawson,2009,University of North Carolina,17.2,Perimeter
433,Nate Robinson,2005,University of Washington,15.6,Perimeter
434,Kendall Marshall,2012,University of North Carolina,10.7,Perimeter
435,Brandon Knight,2011,University of Kentucky,14.1,Perimeter
436,Nick Calathes,2009,University of Florida,12.3,Perimeter
437,D.J. White,2008,Indiana University,14.5,Interior
438,Delonte West,2004,Saint Joseph's University,13.9,Perimeter
439,Tony Battie,1997,Texas Tech University,12.6,Interior
440,Marvin Williams,2005,University of North Carolina,13.7,Perimeter
441,Taj Gibson,2009,University of Southern California,15.5,Interior
442,David Lee,2005,University of Florida,19.1,Perimeter
443,Jordan Farmar,2006,"University of California, Los Angeles",13.3,Perimeter
444,Keyon Dooling,2000,University of Missouri,11.5,Perimeter
445,Solomon Jones,2006,University of South Florida,10.2,Interior
446,Brian Cook,2003,University of Illinois at Urbana-Champaign,13.1,Interior
447,Bill Walker,2008,Kansas State University,10.8,Perimeter
448,Jerryd Bayless,2008,University of Arizona,12.2,Perimeter
449,Quentin Richardson,2000,DePaul University,12.9,Perimeter
450,Kris Humphries,2004,University of Minnesota,15.4,Perimeter
451,Greg Oden,2007,Ohio State University,18.7,Interior
452,Hasheem Thabeet,2009,University of Connecticut,10.3,Interior
453,James Jones,2003,University of Miami,11.3,Perimeter
454,Charlie Villanueva,2005,University of Connecticut,16,Interior
455,Kyle Anderson,2014,"University of California, Los Angeles",13.6,Perimeter
456,Sam Young,2009,University of Pittsburgh,11.5,Perimeter
457,Raef LaFrentz,1998,University of Kansas,16.1,Interior
458,Royal Ivey,2004,University of Texas at Austin,8.4,Perimeter
459,Travis Knight,1996,University of Connecticut,11.4,Interior
