MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
26.6,5.1,9,0.56,4.9,8.4,0.585,0.2,0.7,0.242,3.1,5.1,0.613,1.842602041,4.091326531,7,0.7,1.3,2.6,2.5,2.6,13.4,5.84,0.585,0.569,0.073,0.566,11.93196481,15.44281525,2.760703812,18,24.32961877,4.1,5.1,9.2,0.275
31.4,5.2,10.4,0.497,5.1,10.1,0.503,0.1,0.3,0,4.2,6.1,0.684,1.842602041,4.091326531,9.8,0.6,0.4,2.8,2.4,1.9,14.6,7.62,0.548,0.501,0.03,0.581,11.93196481,15.44281525,2.760703812,14.6,24.32961877,6.3,9.3,15.6,0.251
27.1,4.9,10.5,0.467,4.8,10.2,0.474,0.1,0.3,0,2.8,4.6,0.619,3,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7,5.38,0.501,0.47,0.028,0.434,16,10.2,3,18.8,28.2,1.9,3.9,5.8,0.094
27.8,5.7,11.2,0.513,5.7,11.1,0.519,0,0.1,0,4.3,6,0.717,3.5,6.5,10,1.5,1.3,1.2,2.4,2.4,15.8,11,0.562,0.513,0.013,0.532,19.7,10.1,2.9,14.6,26.7,5.2,7,12.2,0.229
27.4,5.9,10.4,0.567,5.7,9.8,0.587,0.2,0.7,0.268,3.1,4.5,0.691,2.9,6.6,9.5,1.2,1.4,0.6,2.9,3.4,15.1,5.79,0.601,0.575,0.063,0.43,21.7,11,1.8,19,29.6,6.1,4.6,10.6,0.251
31.8,5.7,9.7,0.59,5.7,9.7,0.59,0,0,0,2.4,4.3,0.564,3.4,7.2,10.6,0.8,0.9,4.3,2,2.6,13.8,7.61,0.591,0.59,0,0.449,17.5,4.6,8.3,14.6,23.5,8.2,14.1,22.3,0.272
19.3,2.5,5.4,0.46,1.7,3.3,0.513,0.8,2.1,0.379,1.7,2.2,0.805,1.1,2.6,3.7,0.9,0.6,1.1,0.8,1.9,7.5,8.87,0.585,0.535,0.394,0.399,11.1,9,5,11.4,18.8,7.2,4.5,11.6,0.191
30.2,4.8,8.4,0.58,4.8,8.3,0.585,0,0.1,0,2.9,3.8,0.764,2.7,4.8,7.5,0.8,0.5,1,1.8,3.1,12.6,7.3,0.62,0.58,0.009,0.454,16.1,6.7,2.8,15.3,22.3,12,7.2,19.1,0.201
22.8,2.5,5,0.502,2.3,4.4,0.532,0.2,0.6,0.294,1.4,2.4,0.577,1.842602041,4.091326531,6.7,1.2,0.6,0.4,1.3,1.8,6.6,8.89,0.537,0.521,0.128,0.476,11.93196481,15.44281525,2.760703812,17.8,24.32961877,0.9,2.1,2.9,0.048
23.4,3.1,5.5,0.571,3.1,5.5,0.571,0,0,0,1,2.2,0.443,2.8,3.5,6.3,0.6,0.7,2,1.1,1.6,7.2,5.63,0.555,0.571,0,0.4,18,5.4,11.2,14.4,17.7,1.6,1.9,3.5,0.185
16.6,3.2,6.2,0.52,3.2,6.1,0.522,0,0,0,1.5,2.6,0.589,1.8,3,4.7,1,0.5,1,1,2,7.9,10.19,0.536,0.52,0.005,0.418,15.1,11.1,3.8,12.2,24.3,1.9,3.6,5.5,0.19
27.6,4.4,8.6,0.507,4.3,8.5,0.509,0,0.1,0,3.4,5.2,0.653,2.8,4.3,7,0.7,0.7,1.9,1.5,2.6,12.1,6.76,0.548,0.508,0.006,0.608,13.2,7.4,5.6,11.7,23.3,6.7,15.7,22.4,0.251
28.7,5.5,10.3,0.534,5.5,10.3,0.534,0,0,0,2.8,4.6,0.612,3.7,6.1,9.8,1,0.8,0.1,2.1,2.8,13.8,7.16,0.553,0.534,0.001,0.448,18.1,6.4,0.3,14.2,21.3,7.5,8.7,16.2,0.172
21.7,3,6,0.504,3,5.9,0.505,0,0,0,3.3,4.5,0.735,1.8,3.2,5,0.7,0.5,1.4,1.6,2.3,9.3,3.36,0.575,0.504,0.005,0.756,13.7,6.1,6.7,16.6,22.8,7.1,5.9,13,0.176
35.2,7.2,12.4,0.577,7.1,12.2,0.58,0.1,0.2,0,4.2,6.8,0.62,5.5,7.3,12.7,0.9,1.3,2,2.4,3.1,18.6,2.11,0.594,0.579,0.014,0.546,19.3,5.6,3.5,13.5,23.7,10.9,13.7,24.6,0.304
20.2,2,3.5,0.575,2,3.5,0.574,0,0,0,1.7,2.9,0.591,1.6,2.5,4,0.4,0.2,0.9,1.4,2.4,5.7,7.98,0.59,0.577,0.003,0.826,12.9,3,3.3,22.3,15.8,4,4,7.9,0.139
