Player,Draft_Yr,College,Career_PER
Thaddeus Young,2007,Georgia Institute of Technology,16.4
T.J. Warren,2014,North Carolina State University,16.2
Jason Collier,2000,Georgia Institute of Technology,11.7
Ramon Sessions,2007,"University of Nevada, Reno",15.9
Patrick Beverley,2009,University of Arkansas,12.5
Kerry Kittles,1996,Villanova University,16
Corey Maggette,1999,Duke University,17.9
Al-Farouq Aminu,2010,Wake Forest University,12.4
Jerami Grant,2014,Syracuse University,12.6
Devin Harris,2004,University of Wisconsin,16
Craig Smith,2006,Boston College,16.2
Malik Rose,1996,Drexel University,13.4
Wesley Johnson,2010,Syracuse University,10
Joe Harris,2014,University of Virginia,11.8
John Henson,2012,University of North Carolina,17.1
John Wallace,1996,Syracuse University,14
Tyler Zeller,2012,University of North Carolina,14.9
Kentavious Caldwell-Pope,2013,University of Georgia,12
Tony Allen,2004,Oklahoma State University,14.2
Jeff Taylor,2012,Vanderbilt University,8.9
Javaris Crittenton,2007,Georgia Institute of Technology,10.6
Dion Waiters,2012,Syracuse University,12
