,Player,School,MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40,,Career_PER,,,,,,,,,
94,Shelvin Mack,Butler,31.2,11.4,0.419,2.8,2,5.6,2.6,3.4,0.8,1.1,0.1,2.2,14.1,0.507,8.3,25.4,7.9,5.9,0.164,,12.4,,,,,,,,,
95,Carmelo Anthony,Syracuse,36.4,17.5,0.453,6.3,1.6,4.7,4.8,6.8,2.9,1.6,0.9,2.2,22.2,0.498,14,11.9,2.7,3.1,0.183,,20.3,,,,,,,,,
96,Marcus Camby,UMass,25.3,11.7,0.501,5.8,0,0.1,3.3,5.1,1.842602041,0.8,3.7,2,15.1,0.501,11.93196481,15.44281525,2.2,5.9,0.139,,17.8,,,,,,,,,
97,Andre Miller,Utah,29.4,8.6,0.513,4,0.4,1.5,2.9,4.2,1.842602041,1.9,0.5,2.8,12.1,0.538,11.93196481,15.44281525,10.3,12.5,0.21,,17.4,,,,,,,,,
98,James Harden,Arizona State,35,11.9,0.506,4.6,1.5,3.9,5.4,7.2,1.3,1.9,0.4,3,19,0.568,10.3,27,10,3.8,0.23,,24.3,,,,,,,,,
99,Rudy Gay,UConn,29.8,10.8,0.461,4.1,0.9,2.3,2.8,3.8,1.9,1.3,1.7,2.2,13.6,0.501,10.8,12.6,3.2,5.9,0.191,,16.8,,,,,,,,,
100,Laron Profit,Maryland,25.6,9.8,0.474,3.8,0.8,2.6,2.4,3.4,1.842602041,2,0.6,2.5,12.5,0.517,11.93196481,15.44281525,6.7,8,0.175,,10.6,,,,,,,,,
101,Trey Burke,Michigan,35.7,13.3,0.45,4.2,1.8,5,3.1,4,0.6,1.3,0.5,2.5,16.9,0.519,6.1,33.2,9.7,3.2,0.197,,13.8,,,,,,,,,
102,Andrew Bogut,Utah,32.7,10.9,0.603,6.4,0.2,0.5,3.2,4.7,3.5,0.7,1.6,2.7,16.6,0.612,24.2,18.2,9.4,7.7,0.307,,16.4,,,,,,,,,
103,Miles Plumlee,Duke,15.8,3.5,0.557,1.9,0,0,0.9,1.5,1.8,0.5,0.6,1,4.8,0.559,17.3,3.9,4.1,5,0.17,,13.7,,,,,,,,,
104,Morris Peterson,Michigan State,23.4,8.5,0.484,3,1.1,2.8,2.3,3.1,1.842602041,0.9,0.3,1.5,11.6,0.547,11.93196481,15.44281525,10,8.2,0.257,,13.3,,,,,,,,,
105,Shabazz Muhammad,UCLA,30.8,14.3,0.443,5.1,1.3,3.3,4,5.6,2.7,0.7,0.1,1.6,17.9,0.487,9.6,5.8,2.9,0.8,0.149,,15.9,,,,,,,,,
106,Harrison Barnes,UNC,29.3,13.6,0.43,4.3,1.5,4.4,3.1,4.3,2,0.9,0.4,1.9,16.3,0.487,9.7,8.4,5.6,3.8,0.17,,13.3,,,,,,,,,
107,Otto Porter,Georgetown,32.5,9.2,0.498,3.7,0.9,2.4,2.8,3.8,1.9,1.5,0.9,1.3,12.8,0.545,14.2,14.9,6.8,5.3,0.231,,15.6,,,,,,,,,
108,Jason Smith,Colorado State,27.9,9.6,0.548,5.1,0.1,0.3,4.1,5.5,2.6,0.5,1.7,3.1,14.7,0.553,15.5,17.8,8.1,2.4,0.172,,12.9,,,,,,,,,
109,Roger Mason,Virginia,29.6,10,0.436,2.8,1.5,4.1,3.6,4.1,0.8,1,0.4,2.2,13.8,0.513,11.93196481,15.44281525,6.4,3.6,0.152,,10.9,,,,,,,,,
110,Sean Marks,California,13,5.1,0.487,2.4,0.1,0.3,1.4,2.1,1.842602041,0.6,0.8,1.1,6.5,0.499,11.93196481,15.44281525,1.9,3.7,0.151,,9.1,,,,,,,,,
111,Ronnie Brewer,Arkansas,33,11.9,0.462,4.3,1.2,3.4,3.6,5.4,1.7,2.4,0.5,2.3,15.7,0.511,8.8,21.5,6.2,7.4,0.184,,14.4,,,,,,,,,
112,Casey Jacobsen,Stanford,31.8,12.2,0.47,3.4,2.3,5.5,4.3,5.6,1.1,0.5,0.1,2,18.1,0.566,6.9,20.8,11.3,3.8,0.2,,9.2,,,,,,,,,
113,Chris Crawford,Marquette,22,7.3,0.444,2.5,0.8,2,2.1,2.9,1.842602041,0.6,0.4,1.5,9.3,0.496,11.93196481,15.44281525,3.8,4.1,0.126,,12.9,,,,,,,,,
114,Rodney Hood,Overall,32.8,10.4,0.455,3,1.8,4.4,2,2.6,0.9,0.6,0.3,1.3,13.3,0.539,8,12.6,5.8,2,0.142,,13.3,,,,,,,,,
115,Carl Landry,Purdue,29.9,10.5,0.602,6.1,0.2,0.7,5.6,7.9,3,1,0.8,2.9,18.4,0.61,14.7,10.6,9.8,4.3,0.293,,17.5,,,,,,,,,
116,James Anderson,Oklahoma State,32.8,12.6,0.46,3.5,2.2,5.9,4.2,5.2,1.9,1.1,0.6,2.1,17.9,0.549,9,11,11.6,4.4,0.193,,9.9,,,,,,,,,
117,Derek Fisher,Little Rock,32.6,9.3,0.414,2.7,1.1,2.9,3.6,4.8,1.842602041,1.6,0.1,2.4,12.4,0.474,11.93196481,15.44281525,2.1,2.1,0.046,,11.7,,,,,,,,,
118,Jordan Hamilton,Texas,26.2,12.2,0.43,3.1,2.1,5.6,1.9,2.7,1.5,0.8,0.5,1.8,14.5,0.516,11.7,14.2,5.5,3.9,0.205,,13.4,,,,,,,,,
119,Dominic McGuire,Overall,25,7.2,0.462,3,0.3,1.1,1.8,3.2,1.7,0.6,1.9,2.4,8.7,0.481,12.7,10.5,1.4,6.8,0.153,,9.8,,,,,,,,,
120,Tyreke Evans,Memphis,29,13.6,0.455,5.3,0.9,3.4,3.7,5.2,1.3,2.1,0.8,3.6,17.1,0.489,10.2,30,2.4,4.8,0.268,,17.2,,,,,,,,,
121,Anthony Davis,Kentucky,32,8.4,0.623,5.2,0.1,0.5,3.6,5.1,3,1.4,4.7,1,14.2,0.628,19,7.5,5.9,4.1,0.31,,27.4,,,,,,,,,
122,Spencer Hawes,Washington,28.9,11.7,0.532,6.2,0,0.1,2.4,3.2,2,0.5,1.7,2.5,14.9,0.533,13.2,14,2,2.4,0.198,,14,,,,,,,,,
123,Brendan Haywood,UNC,29.2,6,0.637,3.8,0,0,2.3,4,3.2,0.3,2.2,1.9,10,0.637,11.93196481,15.44281525,10.6,8.8,0.231,,14.6,,,,,,,,,
124,Al Horford,Florida,25.7,6.6,0.586,3.9,0,0,2.5,4.1,2.3,0.9,1.7,1.6,10.3,0.586,17,11.6,7,10,0.244,,18.9,,,,,,,,,
125,James Posey,Xavier,31.5,9.3,0.527,4.1,0.8,2.3,4.7,5.9,1.842602041,2.3,0.7,2.7,15.3,0.568,17.1,9.5,11,8.1,0.252,,12.4,,,,,,,,,
126,Melvin Ely,Fresno State,32.5,11,0.577,6.4,0,0,3,4.6,2.9,0.8,2.9,2.4,15.7,0.578,11.93196481,15.44281525,11.3,9.8,0.209,,10.6,,,,,,,,,
127,Lamar Odom,Rhode Island,34.9,13.2,0.482,5.3,1,3.1,3.9,5.7,1.842602041,0.8,1.5,3.4,17.6,0.521,11.93196481,15.44281525,2.9,2.9,0.206,,16.5,,,,,,,,,
128,Randy Foye,Villanova,31.3,13.1,0.399,3.6,1.6,4.9,3,3.8,1.4,1.5,0.4,2.9,15,0.461,8.6,23.2,4.7,8.5,0.129,,12,,,,,,,,,
129,Austin Croshere,Providence,23.6,9.3,0.44,2.9,1.2,3.6,3.2,3.8,1.842602041,0.9,0.6,1.9,12.6,0.505,12.5,9.1,6.2,4.3,0.146,,14.3,,,,,,,,,
130,Jordan Crawford,Overall,29.3,12.4,0.455,4,1.7,4.4,2.6,3.3,1,1.2,0.2,2.2,15.5,0.523,7.9,19.5,5.1,3,0.172,,14.1,,,,,,,,,
131,Mark Hendrickson,Washington State,33.1,8.6,0.567,4.4,0.4,1.1,3.7,5.1,1.842602041,0.8,0.3,2.2,13.9,0.592,11.93196481,15.44281525,2.8,1,0.043,,10.6,,,,,,,,,
