Draft_Yr,Player,College,Career_PER
1998,Larry Hughes,Saint Louis University,14.9
1987,Kenny Smith,University of North Carolina,14.9
1984,Jerome Kersey,Longwood University,14.9
2006,J.J. Redick,Duke University,14.9
2008,George Hill,Indiana University-Purdue University Indianapolis,14.9
1961,Don Kojis,Marquette University,14.9
1995,Corliss Williamson,University of Arkansas,14.9
2003,Chris Kaman,Central Michigan University,14.9
1994,Brian Grant,Xavier University,14.9
1997,Brevin Knight,Stanford University,14.9
1965,Bob Love,Southern University and A&M College,14.9
1975,Bill Robinzine,DePaul University,14.9
2004,Ben Gordon,University of Connecticut,14.9
1993,Allan Houston,University of Tennessee,14.9
2014,Zach LaVine,"University of California, Los Angeles",14.8
2006,Tyrus Thomas,Louisiana State University,14.8
2009,Tyler Hansbrough,University of North Carolina,14.8
1999,Metta World Peace,St. John's University,14.8
1980,Kelvin Ransey,Ohio State University,14.8
1985,Ed Pinckney,Villanova University,14.8
1972,Brian Taylor,Princeton University,14.8
1985,Benoit Benjamin,Creighton University,14.8
2012,Will Barton,University of Memphis,14.7
1990,Terry Mills,University of Michigan,14.7
1983,Sedale Threatt,West Virginia University Institute of Technology,14.7
1983,Roy Hinson,Rutgers University,14.7
1998,Ricky Davis,University of Iowa,14.7
1951,Mel Hutchins,Brigham Young University,14.7
1990,Lionel Simmons,La Salle University,14.7
1977,Kenny Carr,North Carolina State University,14.7
1990,Kendall Gill,University of Illinois at Urbana-Champaign,14.7
1992,Jon Barry,Georgia Institute of Technology,14.7
1986,Johnny Dawkins,Duke University,14.7
1964,Joe Caldwell,Arizona State University,14.7
1980,Joe Barry Carroll,Purdue University,14.7
1977,James Edwards,University of Washington,14.7
2016,Jamal Murray,University of Kentucky,14.7
1993,Isaiah Rider,"University of Nevada, Las Vegas",14.7
1959,Dick Barnett,Tennessee State University,14.7
1981,Danny Ainge,Brigham Young University,14.7
2011,Chandler Parsons,University of Florida,14.7
1977,Brad Davis,University of Maryland,14.7
1975,Bob Gross,"California State University, Long Beach",14.7
1979,Allen Leavell,Oklahoma City University,14.7
2013,Alex Len,University of Maryland,14.7
1992,Tracy Murray,"University of California, Los Angeles",14.6
1978,Terry Tyler,University of Detroit Mercy,14.6
1984,Sam Bowie,University of Kentucky,14.6
1960,Lee Shaffer,University of North Carolina,14.6
1992,LaPhonso Ellis,University of Notre Dame,14.6
1973,Kevin Kunnert,University of Iowa,14.6
1994,Juwan Howard,University of Michigan,14.6
1986,John Williams,Louisiana State University,14.6
1971,John Mengelt,Auburn University,14.6
1966,Jim Barnett,University of Oregon,14.6
2009,James Johnson,Wake Forest University,14.6
1992,Doug Christie,Pepperdine University,14.6
1986,Dennis Rodman,Southeastern Oklahoma State University,14.6
1976,Dennis Johnson,Pepperdine University,14.6
1990,Dee Brown,Jacksonville University,14.6
2017,De'Aaron Fox,University of Kentucky,14.6
1980,Darrell Griffith,University of Louisville,14.6
2001,Brendan Haywood,University of North Carolina,14.6
1997,Antonio Daniels,Bowling Green State University,14.6
1988,Anthony Mason,Tennessee State University,14.6
1973,Allan Bristow,Virginia Polytechnic Institute and State University,14.6
