MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40
30.3,12.2,0.466,4.5,1.2,2.9,2.4,3.2,2.2,1.7,0.5,2.5,15,0.515,11.93196481,15.44281525,3.3,4,0.182
32.1,13,0.412,3.3,2.1,5.5,2.6,4,1.4,1.1,0.6,2.3,15.4,0.492,7.8,16.4,3.8,4.6,0.121
24.6,6.8,0.586,4,0,0,1.9,3.2,2.2,0.2,2,1.6,9.9,0.586,11.93196481,15.44281525,3.8,4,0.203
22.2,7.8,0.491,3.7,0.2,0.4,3.5,4.5,1.842602041,0.5,0.9,1.5,11.4,0.501,11.93196481,15.44281525,7.9,7.5,0.168
32.6,9.8,0.543,5.2,0.1,0.5,3.7,5.5,2.1,1.5,1.5,2.9,14.5,0.55,15.5,20.7,6,4.5,0.198
31.5,17.5,0.532,8.2,1.1,2.9,6.5,8.5,4,1.3,1.6,2.9,26.2,0.563,21.3,9.3,5.4,5.4,0.413
30.8,13.3,0.426,4.4,1.3,4.1,4.1,6,2.3,0.9,0.8,3.1,16.7,0.473,8.9,12.2,3.9,6,0.153
23,8.5,0.547,3.7,1,2.6,2,2.8,1.842602041,1.1,0.8,1.3,12.3,0.603,11.93196481,15.44281525,9,5.8,0.199
27.2,7,0.472,3.2,0.1,0.4,1.6,2.5,2.5,0.8,2.8,1.5,8.4,0.481,13.4,10.9,3.7,7.1,0.154
31.2,13.6,0.464,4.4,1.9,4.8,3.1,3.7,1.7,1.9,0.6,2.5,17.6,0.535,10.4,15.1,11.1,7.5,0.189
28.7,11.3,0.413,3.9,0.8,2.8,4.3,6.1,2.5,0.6,0.3,2.4,14.4,0.448,14.1,13.3,1.8,2,0.109
26.6,9,0.56,4.9,0.2,0.7,3.1,5.1,1.842602041,1.3,2.6,2.5,13.4,0.569,11.93196481,15.44281525,4.1,5.1,0.275
30.1,8,0.42,2,1.3,3.5,4.9,5.9,0.5,1.1,0.3,1.8,13,0.504,6.7,18.9,8.4,3.9,0.19
31.4,10.4,0.497,5.1,0.1,0.3,4.2,6.1,1.842602041,0.4,2.8,2.4,14.6,0.501,11.93196481,15.44281525,6.3,9.3,0.251
33.1,17.1,0.472,6.4,1.7,5.2,6.5,8.1,1.1,2.3,0.3,3.5,24.4,0.52,8.9,30.7,7.2,1.1,0.17
30.5,12.1,0.466,4.1,1.5,4.2,3,4,0.8,1.9,0.2,2.7,15.8,0.53,11.93196481,15.44281525,5.4,4.3,0.183
28.6,10.2,0.438,3.3,1.2,3.6,2.2,2.8,1.9,0.9,1.1,1.7,12.3,0.497,13.4,12.8,3.9,7.2,0.182
26.7,9.2,0.483,3.3,1.2,3.5,3.1,4.4,1.842602041,1.2,0.3,2.2,13.3,0.547,11.93196481,15.44281525,5,3.4,0.194
31.7,9.4,0.422,2.3,1.6,4.3,1.5,2.1,0.4,1.1,0.2,2.4,11,0.508,6.3,33.5,4.4,6.3,0.133
27.1,10.5,0.467,4.8,0.1,0.3,2.8,4.6,3,0.5,0.8,2.9,12.7,0.47,16,10.2,1.9,3.9,0.094
