FG,FG%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,BLK,PTS,PER,TS%,eFG%,FTr,TRB%,BLK%,USG%,WS/40
4.6,0.44,4,8.5,0.472,2.8,3.4,1.3,4,5.3,0.4,12.5,22.9,0.52,0.467,0.33,10.6,1.4,24.8,0.105
5.1,0.54,4.8,8.7,0.554,4.6,5.8,2.6,5.6,8.2,1.8,15.1,22.9,0.616,0.555,0.617,16.1,3.3,23.2,0.198
5.4,0.495,3.4,6.1,0.553,3.2,3.7,1.3,3.9,5.2,0.7,15.9,23.2,0.633,0.586,0.345,9.4,2.2,23.2,0.217
4.5,0.535,4.3,7.6,0.559,2.1,3.5,2.4,3.6,6,0.4,11.2,22.9,0.562,0.547,0.416,14,1.2,22.1,0.181
7.1,0.558,7,12.2,0.572,3.8,5.9,3,5.6,8.6,0.8,18.1,22.9,0.583,0.563,0.463,14.5,1.4,27,0.212
5.4,0.443,3.8,8.2,0.463,4.4,5.5,0.6,2.3,2.9,0,16.9,22.9,0.569,0.51,0.447,4.2,0.2,20.9,0.161
5,0.454,3.6,6.9,0.516,2.6,3.3,2.2,4.7,7,1.2,13.9,22.9,0.555,0.518,0.306,11.6,4,24.3,0.167
4.3,0.452,3.8,8.1,0.465,3.1,4.3,1.7,7,8.7,0.8,12.2,22.6,0.531,0.479,0.452,15.9,2.8,22.2,0.167
3.5,0.511,3.5,6.9,0.511,1.9,3.1,2.6,3.1,5.6,2.3,9,22.9,0.535,0.512,0.452,13.3,6.9,21.1,0.201
5.2,0.464,3.8,7,0.543,2.6,3.6,1.6,2.7,4.3,0.7,14.4,25.8,0.559,0.526,0.318,9.3,2.5,27.9,0.154
5.7,0.536,5.6,10.3,0.544,3.9,5.9,2.9,4.7,7.6,0.9,15.4,22.9,0.572,0.539,0.561,12.8,2,25.5,0.199
4.7,0.527,4.1,7.4,0.557,3.1,3.9,1.6,3.6,5.2,0.3,13,22.9,0.609,0.559,0.439,12.8,0.4,27.7,0.193
